date,best_bid,best_ask,total_bid_depth,total_ask_depth,volume_by_product
2020-03-23T09:33:00.093, 640515.0, 640541.0, 6939.68763197, 6654.95799111, 196672.12942322
2020-03-23T09:34:00.6, 640994.0, 641075.0, 6945.74374725, 6639.09686822, 196701.6193144
2020-03-23T09:35:00.73, 640258.0, 640364.0, 6904.1111528, 6634.76943916, 196734.99317681
2020-03-23T09:36:00.453, 639151.0, 639307.0, 6898.74489657, 6638.43807446, 196830.64826686
2020-03-23T09:36:59.76, 639301.0, 639316.0, 6920.3515335, 6660.4589501, 196845.92690908
2020-03-23T09:37:59.497, 639311.0, 639315.0, 6931.29233863, 6656.15803726, 196840.05060803
2020-03-23T09:39:00.283, 639661.0, 639755.0, 6913.10889221, 6838.79123837, 196827.03537559
2020-03-23T09:40:00.2, 641162.0, 641328.0, 6927.01601523, 6817.7712511, 196692.73744059
2020-03-23T09:40:59.76, 642119.0, 642455.0, 6912.45506872, 6807.44271007, 196582.55929461
2020-03-23T09:41:59.013, 642225.0, 642234.0, 6920.20379602, 6817.79290602, 196571.24521456
2020-03-23T09:42:59.897, 641761.0, 641860.0, 6907.07855511, 6828.77213134, 196536.74781052
2020-03-23T09:43:59.863, 641919.0, 641938.0, 6918.68403179, 6827.03350712, 196447.21106138
2020-03-23T09:44:59.84, 640719.0, 640904.0, 6900.47955015, 6836.36739399, 196528.94301561
2020-03-23T09:45:59.96, 641901.0, 642039.0, 6919.82707928, 6830.45332788, 196587.50485943
2020-03-23T09:47:00.89, 643212.0, 643331.0, 6915.95185882, 6796.72347059, 196716.49733947
2020-03-23T09:47:59.33, 643753.0, 643995.0, 6927.56502171, 6797.94105852, 196773.31724659
2020-03-23T09:49:00.51, 643505.0, 643598.0, 6922.03652239, 6812.61067498, 196827.93442628
2020-03-23T09:49:59.637, 643806.0, 643920.0, 6904.5439727, 6814.33365179, 196901.1698868
2020-03-23T09:51:00.81, 645198.0, 645246.0, 6914.46657267, 6783.91499094, 197130.36780343
2020-03-23T09:51:59.42, 644524.0, 644807.0, 6909.81358785, 6782.17918553, 197156.78255481
